destinatario_id,tipo,documento,uf,cidade
227,PF,83968390036,PE,Olinda
228,PF,73034496244,RJ,Niterói
229,PF,36709851076,SP,Santos
230,PF,34710887600,SP,São Paulo
231,PF,48431960457,PR,Londrina
232,PF,47151302176,GO,Rio Verde
233,PF,88289321237,CE,Juazeiro do Norte
234,PF,65257507258,MG,Belo Horizonte
235,PF,10626253619,RS,Porto Alegre
236,PF,04778325504,RJ,Rio de Janeiro
237,PF,31573769975,MG,Uberlândia
238,PF,05673215351,CE,Sobral
239,PF,62828695380,BA,Feira de Santana
240,PF,35257721540,PE,Caruaru
241,PF,29026875850,RS,Pelotas
242,PJ,91880781709273,SC,Joinville
243,PF,71872746069,RS,Pelotas
244,PF,95999378369,DF,Ceilândia
245,PF,58976407731,DF,Ceilândia
246,PF,53597387379,DF,Taguatinga
247,PF,43631084613,CE,Fortaleza
248,PF,78786910792,SC,Blumenau
249,PF,95625828336,BA,Feira de Santana
250,PF,57898163518,RS,Pelotas
251,PF,41984947327,PR,Curitiba
252,PF,06006059439,MG,Belo Horizonte
253,PF,12597734682,PR,Londrina
254,PF,20158724124,BA,Ilhéus
255,PF,04748770932,BA,Feira de Santana
256,PF,56556685874,SC,Blumenau
257,PF,42722585986,PR,Curitiba
258,PF,73207222409,DF,Ceilândia
259,PF,33669042451,MG,Uberlândia
260,PF,00798388153,SP,Campinas
261,PF,63846758099,DF,Ceilândia
262,PJ,93793579178150,MG,Belo Horizonte
263,PF,84371871404,BA,Salvador
264,PF,04480986814,DF,Taguatinga
265,PF,64859803655,PR,Maringá
266,PF,08524888554,RJ,Rio de Janeiro
267,PF,15447959480,BA,Feira de Santana
268,PJ,85268288898491,PE,Olinda
269,PJ,70192040903751,DF,Ceilândia
270,PF,78559610134,GO,Goiânia
271,PF,44330917117,GO,Anápolis
272,PJ,62542455738909,PR,Maringá
273,PF,77066854420,RJ,Rio de Janeiro
274,PJ,42499403828446,RS,
275,PF,75163847740,CE,Sobral
276,PJ,10098083295011,SC,Joinville
277,PF,59236392280,RS,Caxias do Sul
278,PF,53641173677,BA,Ilhéus
279,PF,32272650793,MG,Belo Horizonte
280,PF,63938756644,SC,Joinville
281,PF,54415046981,GO,Anápolis
282,PJ,98236347785804,PR,Curitiba
283,PF,09315190705,PR,Maringá
284,PF,99662180935,CE,Sobral
285,PF,88497700304,MG,Belo Horizonte
286,PF,72952695570,SP,Santos
287,PF,98314635347,CE,Fortaleza
288,PF,32847294021,RS,Pelotas
289,PF,37093206916,DF,Taguatinga
290,PF,88591064081,SP,São Paulo
291,PF,37381893747,MG,Uberlândia
292,PF,51713446817,SC,Joinville
293,PF,09723209052,RJ,Rio de Janeiro
294,PF,17239161651,RS,Caxias do Sul
295,PF,33086287881,BA,Ilhéus
296,PF,53674001263,PE,Olinda
297,PJ,41077768523228,RJ,Rio de Janeiro
298,PF,85062784438,RJ,Niterói
299,PF,85422471775,PR,Maringá
300,PF,59041931243,DF,Ceilândia
301,PF,00848549784,RS,Caxias do Sul
302,PF,79635217306,RJ,Duque de Caxias
303,PF,02195483516,SC,Florianópolis
304,PF,54182223451,BA,Feira de Santana
305,PF,06862411683,SC,Blumenau
306,PF,80138840742,RJ,Niterói
307,PF,71134082133,SC,Blumenau
308,PF,68685070331,BA,Ilhéus
309,PJ,62664865272568,CE,Fortaleza
310,PF,47390380208,PR,Curitiba
311,PF,12087273749,PR,Londrina
312,PF,83722785431,PR,Londrina
313,PF,43772824606,MG,Uberlândia
314,PF,47875951401,MG,Belo Horizonte
315,PJ,07296188535307,PE,Olinda
316,PF,17621292984,MG,Uberlândia
317,PF,70591541852,DF,Ceilândia
318,PF,24247995539,SP,Santos
319,PF,02041178553,MG,Contagem
320,PF,81663563352,RJ,Rio de Janeiro
321,PF,97234024275,DF,Taguatinga
322,PF,28864414456,SC,Florianópolis
323,PJ,86091107245699,DF,Taguatinga
324,PF,39283227316,SP,Santos
325,PJ,32186492996734,PE,Caruaru
326,PF,61390017001,DF,Taguatinga
327,PF,84723755813,BA,Ilhéus
328,PF,95561728541,PR,Londrina
329,PF,63020817088,PE,Olinda
330,PF,04552643245,RS,Porto Alegre
331,PF,01377513149,MG,Uberlândia
332,PF,67220555786,RJ,Rio de Janeiro
333,PF,83679967470,MG,Belo Horizonte
334,PF,84561891925,GO,Rio Verde
335,PF,79406304338,RJ,Duque de Caxias
336,PF,87421423791,SC,Blumenau
337,PJ,79263398785544,RJ,Duque de Caxias
338,PJ,18813880128801,BA,Ilhéus
339,PF,46621599621,SC,Joinville
340,PJ,06581593130688,GO,Rio Verde
341,PF,91176019558,SC,Florianópolis
342,PF,45516077588,PR,Maringá
343,PF,51207973754,RS,Porto Alegre
344,PF,96481621899,RS,Pelotas
345,PJ,37731791415296,PR,Londrina
346,PF,86253726951,BA,Feira de Santana
347,PJ,50861709750414,RS,Porto Alegre
348,PF,67715582113,CE,Sobral
349,PJ,13629264613640,RS,Porto Alegre
350,PF,71721790186,MG,Contagem
351,PF,01322735240,SC,Blumenau
352,PF,00287890347,PR,Maringá
353,PF,87064237599,SP,
354,PF,77163668840,RJ,Rio de Janeiro
355,PJ,89764173941214,CE,Sobral
356,PF,81786914868,RJ,Duque de Caxias
357,PF,15787720357,GO,Rio Verde
358,PF,29469098708,CE,Fortaleza
359,PJ,65166637225518,RJ,Rio de Janeiro
360,PJ,29583101113801,DF,Ceilândia
361,PF,27320061221,BA,Ilhéus
362,PJ,14701500597491,GO,Rio Verde
363,PJ,69203289821514,BA,Feira de Santana
364,PJ,54339409541456,PE,Olinda
365,PJ,63657181935106,GO,Goiânia
366,PJ,99407920330073,RS,Porto Alegre
367,PF,35854659272,BA,Ilhéus
368,PJ,40813465429597,PE,Recife
369,PJ,39814680442557,DF,Taguatinga
370,PF,93323422944,GO,Rio Verde
371,PF,18009625047,RS,Porto Alegre
372,PF,69460329425,BA,Salvador
373,PF,07292837625,SP,Santos
374,PJ,71846053837410,BA,Salvador
375,PF,25983702728,PR,Londrina
376,PJ,49848978491674,PR,Maringá
377,PF,34865042043,RJ,Rio de Janeiro
378,PF,41532193094,GO,Rio Verde
379,PF,49357386585,GO,Rio Verde
380,PF,36006224414,MG,Contagem
381,PF,63572207004,SC,Joinville
382,PF,32450655582,RS,Porto Alegre
383,PF,47202318192,SC,Florianópolis
384,PF,48094764157,PE,Recife
385,PJ,96059037011104,PR,Curitiba
386,PJ,56118799323759,SP,Campinas
387,PF,77567749847,MG,Uberlândia
388,PF,84101722221,SC,Joinville
389,PJ,83357012987302,CE,Fortaleza
390,PF,22857912699,RJ,Duque de Caxias
391,PJ,26078967083801,DF,Brasília
392,PJ,09565250246290,GO,Goiânia
393,PF,81679232246,RS,Caxias do Sul
394,PF,71055928971,CE,Sobral
395,PF,80083638792,GO,Goiânia
396,PF,08853396797,BA,Feira de Santana
397,PJ,40473947780919,CE,Fortaleza
398,PF,84250519581,SC,Blumenau
399,PF,38868423874,PR,Curitiba
400,PF,65509969206,DF,Ceilândia
401,PF,87479569407,RJ,Duque de Caxias
402,PF,73120532126,GO,Rio Verde
403,PF,49806842200,GO,Rio Verde
404,PF,11539068726,GO,Anápolis
405,PF,09925785083,DF,Brasília
406,PF,00544481720,PE,Olinda
407,PF,75186586872,PE,Caruaru
408,PF,46025742081,RJ,Duque de Caxias
409,PF,39780156754,SP,São Paulo
410,PF,16525452709,CE,Fortaleza
411,PF,61709706834,PR,Curitiba
412,PF,84353773430,MG,Contagem
413,PF,83702123823,MG,Contagem
414,PJ,22017401797525,PR,Londrina
415,PF,79223513022,SP,São Paulo
416,PF,05380527996,GO,Goiânia
417,PF,38455678521,RJ,Duque de Caxias
418,PF,82286227793,SC,
419,PJ,81642910943827,RJ,Rio de Janeiro
420,PJ,78184071608291,DF,Brasília
421,PF,72250889650,BA,Ilhéus
422,PJ,02653787294591,DF,Brasília
423,PF,42225133706,BA,Salvador
424,PF,79557772498,RJ,Duque de Caxias
425,PF,18845392346,SP,Campinas
426,PF,34038863222,SP,Santos
427,PF,61139294905,CE,Juazeiro do Norte
428,PF,64149874464,PR,Londrina
429,PF,97691705352,RS,Porto Alegre
430,PF,53176572513,PE,Caruaru
431,PF,41563486121,RJ,Rio de Janeiro
432,PF,78321127919,GO,
433,PF,44420552488,BA,Feira de Santana
434,PF,62386703397,SP,Santos
435,PJ,18742720498801,PE,Recife
436,PF,16809315879,SC,Florianópolis
437,PF,83369569359,SC,Joinville
438,PF,63726082359,RJ,Duque de Caxias
439,PF,02754235623,DF,Ceilândia
440,PF,70006517120,RS,Caxias do Sul
441,PF,86342484945,BA,Ilhéus
442,PF,49161353829,RJ,Rio de Janeiro
443,PF,45089107481,CE,Fortaleza
444,PF,23201163928,PR,Curitiba
445,PJ,94542207222235,GO,Anápolis
446,PF,67955995724,GO,Rio Verde
447,PF,52600360501,MG,Belo Horizonte
448,PF,84338989484,GO,Goiânia
449,PJ,94629864312719,MG,Belo Horizonte
450,PF,98691326674,PE,Caruaru
451,PF,86888768185,SP,São Paulo
452,PF,32179046238,BA,Feira de Santana
453,PF,13310234972,BA,Salvador
454,PF,30767733338,PR,Londrina
455,PF,72176281216,RJ,Niterói
456,PF,02063352461,GO,Rio Verde
457,PF,73448264358,CE,Sobral
458,PF,38396584414,GO,Anápolis
459,PF,83552939946,SC,Florianópolis
460,PF,55838557583,CE,Sobral
461,PF,56916469109,PE,Olinda
462,PF,14153796096,SP,São Paulo
463,PF,15118767589,RS,Pelotas
464,PF,83014369089,GO,Anápolis
465,PF,95404846518,GO,Goiânia
466,PF,51466177849,MG,Uberlândia
467,PF,65292766692,RS,Pelotas
468,PF,53093276686,GO,Goiânia
469,PF,99022295628,PE,Recife
470,PF,83443700474,SC,Florianópolis
471,PF,01267341058,RS,Caxias do Sul
472,PF,73109841786,MG,Contagem
473,PJ,04208874006918,MG,Contagem
474,PJ,64779355976325,BA,
475,PF,74495430635,GO,
476,PF,52318833709,GO,Anápolis
477,PJ,58343888052041,CE,Juazeiro do Norte
478,PJ,07780892896826,MG,Uberlândia
479,PF,41170636860,MG,Uberlândia
480,PF,89959221239,DF,Ceilândia
481,PF,63487251422,SC,Blumenau
482,PJ,08272093282966,MG,Belo Horizonte
483,PF,21237654575,DF,Taguatinga
484,PJ,69499402812152,DF,Ceilândia
485,PJ,64350496081941,GO,Rio Verde
486,PJ,25350706692541,PE,Olinda
487,PF,76437284720,DF,Brasília
488,PF,63043679077,SC,Blumenau
489,PF,88121189425,RS,Caxias do Sul
490,PF,16821858361,SP,São Paulo
491,PF,01886598800,SP,Santos
492,PF,70318868461,RJ,Rio de Janeiro
493,PF,33469264265,PE,Olinda
494,PF,14587224113,SP,Santos
495,PF,53682899951,MG,Contagem
496,PF,06909963866,RJ,Niterói
497,PF,75593238473,PE,Olinda
498,PF,91846354423,GO,Anápolis
499,PF,79125357841,PR,Londrina
500,PF,26619790103,MG,Uberlândia
501,PJ,10362663769556,BA,Feira de Santana
502,PF,49636338672,MG,Belo Horizonte
503,PF,78401693311,PE,Recife
504,PF,16991910429,SC,Florianópolis
505,PF,68679575838,MG,Contagem
506,PF,54293888685,RJ,Rio de Janeiro
507,PJ,46847985057364,RJ,Rio de Janeiro
508,PF,87057750864,DF,Taguatinga
509,PJ,64960074463257,DF,Taguatinga
510,PF,91001101717,MG,Contagem
511,PF,87723466453,PR,Maringá
512,PF,81832506894,CE,Sobral
513,PF,82431580939,DF,Brasília
514,PF,87202949871,GO,Anápolis
515,PF,31227698840,PE,Caruaru
516,PF,83201157319,RJ,Duque de Caxias
517,PF,49147883850,MG,Contagem
518,PF,93247887762,MG,Contagem
519,PF,76353422799,BA,Feira de Santana
520,PF,44942968223,DF,Ceilândia
521,PF,92952614219,GO,Rio Verde
522,PF,80498106512,SC,Florianópolis
523,PF,16274524556,RJ,Duque de Caxias
524,PF,53076648498,BA,Ilhéus
525,PJ,97857993961105,RS,Caxias do Sul
526,PF,56337347212,PR,Londrina
527,PF,59056881122,RJ,Rio de Janeiro
528,PF,80593735780,MG,Belo Horizonte
529,PF,21998067229,GO,Anápolis
530,PF,22396788104,PE,Olinda
531,PF,69534263616,DF,Taguatinga
532,PF,53216683491,GO,Rio Verde
533,PF,66645283532,MG,Uberlândia
534,PF,21581539272,RS,Porto Alegre
535,PF,65403043948,SC,Joinville
536,PF,75117097764,RS,Porto Alegre
537,PF,78440941197,SC,Florianópolis
538,PF,73729643139,GO,Anápolis
539,PF,41468881309,GO,Rio Verde
540,PJ,77835057574231,SP,Santos
541,PF,96028895040,GO,Anápolis
542,PF,00698739013,RS,Caxias do Sul
543,PF,23098774807,GO,Anápolis
544,PF,68886545738,SP,Santos
545,PF,26746750162,GO,Anápolis
546,PF,11816513518,SP,São Paulo
547,PF,87402136058,PE,Olinda
548,PF,46527848682,RS,Caxias do Sul
549,PF,83308900653,MG,Belo Horizonte
550,PJ,38172666841712,RJ,Rio de Janeiro
551,PF,52901152860,RJ,Rio de Janeiro
552,PJ,37146142131702,MG,Contagem
553,PJ,95060104595670,SP,Santos
554,PF,35895019115,PE,Caruaru
555,PF,39338629066,SP,São Paulo
556,PF,75488612596,BA,Feira de Santana
557,PF,78670289657,RJ,Rio de Janeiro
558,PJ,00536605834715,SC,Joinville
559,PJ,62757442552984,RS,Caxias do Sul
560,PF,80754673641,SC,Blumenau
561,PF,03373690877,RS,Pelotas
562,PJ,68949798377259,SP,Campinas
563,PF,02465929659,BA,Feira de Santana
564,PF,82253448125,BA,Feira de Santana
565,PJ,29626188187389,SC,Blumenau
566,PF,60186017134,PE,Olinda
567,PF,21995768192,SP,Santos
568,PF,96622999533,SP,São Paulo
569,PF,71833564418,SC,Blumenau
570,PF,97799221761,RJ,Niterói
571,PJ,61932999357003,MG,Belo Horizonte
572,PJ,20048933177193,DF,Taguatinga
573,PF,65041616489,SC,Joinville
574,PF,69900687081,PE,Caruaru
575,PJ,06250084275374,RS,Porto Alegre
576,PF,82781660087,DF,Taguatinga
577,PF,76645864777,PE,Recife
578,PF,84022958091,GO,Anápolis
579,PF,83182317180,PR,Londrina
580,PF,32096530131,BA,Feira de Santana
581,PF,44845103559,SC,Joinville
582,PF,40189267728,BA,Feira de Santana
583,PF,69554906416,RJ,Duque de Caxias
584,PF,57189693699,SC,Joinville
585,PF,46958398019,CE,Sobral
586,PF,17243317845,CE,Sobral
587,PF,70526146649,PE,Olinda
588,PF,79108623915,SC,Joinville
589,PF,31352474970,PR,Londrina
590,PJ,47998493177856,DF,Ceilândia
591,PF,74889358248,SC,Blumenau
592,PF,54673602859,GO,Anápolis
593,PF,89867878719,SP,São Paulo
594,PF,02701491075,DF,Taguatinga
595,PJ,80809387996963,PE,Recife
596,PF,63826957924,SC,Joinville
597,PF,38401038302,RS,Pelotas
598,PF,12148271634,CE,Fortaleza
599,PF,27754513947,SP,Campinas
600,PF,72607220020,SC,Joinville
601,PF,41999958322,DF,Ceilândia
602,PJ,26424339465041,SC,Florianópolis
603,PF,07618033686,SP,Santos
604,PF,23899005794,SC,Joinville
605,PJ,12612369127109,CE,Fortaleza
606,PF,37045794114,SP,Campinas
607,PJ,32889374086279,DF,Brasília
608,PF,34386913150,RS,Caxias do Sul
609,PF,20249076762,SC,Blumenau
610,PF,17917846191,RJ,Rio de Janeiro
611,PJ,04567272631468,BA,Ilhéus
612,PJ,81340399161275,DF,Brasília
613,PF,62431639758,SP,Santos
614,PJ,87489244667464,DF,Taguatinga
615,PF,83114600915,PE,Caruaru
616,PF,29780356412,MG,Belo Horizonte
617,PJ,49416162097959,RS,Pelotas
618,PF,62046268739,MG,Contagem
619,PF,33614428602,GO,Anápolis
620,PJ,88637451528522,PR,Londrina
621,PF,86033733635,SP,São Paulo
622,PF,41915730613,GO,Anápolis
623,PF,01082528945,PR,Curitiba
624,PJ,82381837289578,RS,Porto Alegre
625,PF,67857359559,MG,Uberlândia
626,PF,95550863789,SC,Joinville
627,PF,38507737824,RJ,Duque de Caxias
628,PJ,59873352826360,RS,Caxias do Sul
629,PF,02807572428,SC,Joinville
630,PF,38003808997,RJ,Rio de Janeiro
631,PF,79659348229,PE,Olinda
632,PF,66504502931,RJ,Niterói
633,PJ,14841630696225,SP,Santos
634,PJ,92197634075933,PR,Maringá
635,PF,96264775317,RJ,Niterói
636,PF,66563179787,MG,Uberlândia
637,PF,16933255831,BA,Feira de Santana
638,PF,20084011264,MG,Contagem
639,PF,64817385769,CE,Fortaleza
640,PJ,52136200623800,DF,Ceilândia
641,PF,63708201501,DF,Brasília
642,PF,70923983418,CE,Fortaleza
643,PJ,69859397071775,PR,Londrina
644,PF,73449346415,GO,Goiânia
645,PJ,90591510433231,RS,Pelotas
646,PJ,69703050433772,SC,Blumenau
647,PF,91994045424,DF,Brasília
648,PF,76536313746,BA,Ilhéus
649,PF,42627717328,MG,Belo Horizonte
650,PF,43831718449,SC,Florianópolis
651,PF,85216840499,RJ,Niterói
652,PJ,79282487696984,SP,Campinas
653,PF,91133617188,MG,Contagem
654,PF,50078710413,RJ,Duque de Caxias
655,PF,25645568474,GO,Anápolis
656,PF,17526546439,CE,Fortaleza
657,PF,09719777502,MG,Contagem
658,PF,02799954563,PR,Maringá
659,PJ,76834956456359,RJ,Rio de Janeiro
660,PF,76587293477,MG,Belo Horizonte
661,PF,09193561385,PE,Olinda
662,PF,45761738322,MG,Belo Horizonte
663,PF,37964065515,DF,Brasília
664,PF,55874754670,MG,Uberlândia
665,PJ,63378292356202,BA,Ilhéus
666,PJ,39972819557391,GO,Goiânia
667,PF,73649301606,SC,Blumenau
668,PF,36354694908,CE,Sobral
669,PF,05067547400,BA,Feira de Santana
670,PF,35945930616,GO,Rio Verde
671,PF,79870840681,SC,Blumenau
672,PJ,09686885952869,DF,Ceilândia
673,PJ,27604486982805,PR,Curitiba
674,PJ,70463167194745,PR,Curitiba
675,PF,51634080018,BA,Ilhéus
676,PF,79235742663,DF,Brasília
677,PJ,56147450658234,GO,Goiânia
678,PF,29815532947,DF,Ceilândia
679,PJ,54992889186322,MG,Belo Horizonte
680,PF,53022381131,MG,Uberlândia
681,PF,24270805343,GO,Anápolis
682,PF,18550611801,RJ,Niterói
683,PF,48404238156,MG,Uberlândia
684,PF,25982504170,GO,Rio Verde
685,PF,10134883460,RS,Porto Alegre
686,PF,04422849200,SP,Santos
687,PJ,94763725333661,CE,Sobral
688,PF,28554518048,MG,Uberlândia
689,PF,11354618133,DF,Brasília
690,PF,72189206456,RJ,Rio de Janeiro
691,PF,92595007324,CE,Juazeiro do Norte
692,PJ,38146951115368,SC,Blumenau
693,PF,79696724104,SP,Campinas
694,PF,62782201390,RJ,Duque de Caxias
695,PJ,53591352779952,CE,Sobral
696,PF,80239973574,DF,Ceilândia
697,PF,53852891950,PR,Maringá
