id_venda,data,cliente,cidade,uf,categoria,forma_pagamento,preco_unitario,quantidade,desconto,total_liquido,aliquota,imposto_estimado
64,2025-09-27,Laura Marques,Machado dos Dourados,RS,Serviços,Dinheiro,394.51,1,0.0,394.51,0.12,47.34
65,2025-09-23,Isaac Oliveira,da Conceição,SC,Eletrônicos,Dinheiro,2564.57,3,0.0,7693.7,0.12,923.24
66,2025-08-02,Yan Barbosa,Rodrigues,SC,Eletrônicos,PIX,3548.8,3,0.0,10646.41,0.18,1916.35
67,2025-09-21,Pietro da Paz,Cassiano do Galho,MG,Eletrônicos,Cartão,4144.6,1,0.0,4144.6,0.12,497.35
68,2025-11-27,Dr. Luiz Otávio Guerra,da Mota,CE,Informática,Cartão,458.6,3,0.1,1238.22,0.07,86.68
69,2025-08-18,Mariana Garcia,Moreira,GO,Acessórios,Cartão,120.49,2,0.05,228.93,0.18,41.21
70,2025-08-24,Sra. Sara Marques,Novais de da Rocha,GO,Acessórios,Boleto,425.33,4,0.0,1701.33,0.12,204.16
71,2025-10-02,João Lucas Caldeira,Brito,PE,Informática,PIX,1580.93,2,0.0,3161.86,0.12,379.42
72,2025-08-16,Melina Silva,Cardoso,BA,Informática,Dinheiro,5243.26,2,0.0,10486.52,0.18,1887.57
73,2025-11-25,Júlia Ribeiro,Moreira Paulista,PE,Eletrônicos,PIX,1819.74,3,0.15,4640.35,0.18,835.26
74,2025-07-21,Gabrielly Brito,Alves de da Rocha,PR,Eletrônicos,Dinheiro,933.72,1,0.0,933.72,0.18,168.07
75,2025-07-31,Srta. Isabela Viana,Gomes Verde,GO,Acessórios,Cartão,485.35,1,0.0,485.35,0.18,87.36
76,2026-01-12,Maria Helena Mendes,Pereira,GO,Serviços,PIX,776.0,4,0.0,3103.98,0.18,558.72
77,2025-08-04,Maria Isis Macedo,Dias de Goiás,SP,Informática,Cartão,2415.75,4,0.0,9663.0,0.18,1739.34
78,2025-08-30,Srta. Heloísa Cassiano,Caldeira,CE,Eletrônicos,PIX,2833.29,4,0.0,11333.18,0.18,2039.97
79,2025-08-14,Maria Sophia Borges,Cavalcanti,GO,Eletrônicos,Dinheiro,3109.29,4,0.15,10571.58,0.07,740.01
80,2025-09-10,Gustavo Henrique Vasconcelos,Rios das Flores,RJ,Serviços,Cartão,480.85,5,0.0,2404.27,0.18,432.77
81,2025-07-23,Bento Vargas,Macedo da Mata,MG,Acessórios,Cartão,339.29,4,0.0,1357.18,0.18,244.29
82,2025-08-01,Augusto Freitas,Novaes de Andrade,RS,Acessórios,Boleto,319.57,1,0.0,319.57,0.18,57.52
83,2025-12-02,Sra. Milena Guerra,Vasconcelos,PR,Informática,Boleto,5050.27,3,0.0,15150.8,0.07,1060.56
84,2025-09-07,Srta. Juliana Melo,Gomes,SP,Acessórios,PIX,398.53,1,0.05,378.6,0.18,68.15
85,2025-08-11,Isabelly Duarte,Nascimento,SC,Eletrônicos,Dinheiro,3627.51,5,0.0,18137.54,0.18,3264.76
86,2025-08-02,Ana Vitória Moreira,Farias,GO,Informática,Boleto,1949.62,3,0.05,5556.43,0.18,1000.16
87,2025-11-12,Davi Luiz Vieira,Mendonça,BA,Informática,PIX,7281.34,2,0.1,13106.41,0.07,917.45
88,2025-10-25,Emanuelly da Mata,Carvalho Verde,RJ,Eletrônicos,PIX,3134.98,4,0.1,11285.93,0.18,2031.47
89,2026-01-11,Dra. Beatriz Freitas,Macedo,CE,Acessórios,Cartão,53.08,1,0.1,47.77,0.12,5.73
90,2025-09-05,Vitor Pimenta,Sampaio,CE,Eletrônicos,PIX,4226.71,3,0.0,12680.13,0.12,1521.62
91,2025-10-29,Dr. Leonardo Sousa,Nunes,CE,Acessórios,Boleto,180.08,1,0.1,162.07,0.18,29.17
92,2025-08-04,Elisa Costa,Novaes,RJ,Eletrônicos,Dinheiro,4608.58,1,0.0,4608.58,0.12,553.03
93,2025-12-03,Samuel da Conceição,Monteiro de Lima,SC,Eletrônicos,Dinheiro,1256.47,1,0.0,1256.47,0.12,150.78
94,2025-09-20,Matteo da Cunha,Novaes,GO,Informática,Cartão,4823.77,3,0.05,13747.75,0.12,1649.73
95,2025-08-03,Caroline Santos,Almeida,GO,Eletrônicos,Boleto,3019.78,4,0.0,12079.11,0.12,1449.49
96,2025-11-10,Vitória Silveira,Sampaio,SP,Eletrônicos,Boleto,1804.94,3,0.05,5144.08,0.12,617.29
97,2025-10-20,Joaquim Lima,Silva do Oeste,RJ,Serviços,PIX,240.42,3,0.0,721.25,0.18,129.82
98,2025-09-26,Yan Freitas,Macedo de Câmara,MG,Acessórios,Cartão,365.99,3,0.15,933.28,0.18,167.99
99,2025-10-15,Manuela Vieira,da Cunha da Praia,RS,Eletrônicos,PIX,4502.41,3,0.0,13507.24,0.18,2431.3
100,2025-11-28,João Miguel Araújo,Araújo das Flores,RJ,Informática,PIX,5054.38,3,0.0,15163.13,0.12,1819.58
101,2025-07-28,Diogo Cavalcante,Silva do Oeste,PE,Eletrônicos,Cartão,2293.41,1,0.1,2064.07,0.12,247.69
102,2025-10-06,Eduarda Cassiano,Guerra,SP,Informática,Boleto,4172.79,1,0.0,4172.79,0.07,292.1
103,2025-09-14,Joaquim Dias,Carvalho do Norte,CE,Informática,PIX,1497.68,2,0.0,2995.36,0.18,539.17
104,2025-10-04,Otto Pereira,Aparecida,SP,Eletrônicos,Boleto,2145.19,5,0.0,10725.95,0.12,1287.11
105,2025-07-20,Eloá Monteiro,Santos,PE,Informática,Cartão,4650.36,2,0.0,9300.72,0.12,1116.09
106,2025-12-25,Davi Cavalcanti,Castro,MG,Acessórios,Boleto,52.76,3,0.0,158.28,0.18,28.49
107,2025-10-16,Rafael Novais,das Neves,SC,Informática,Boleto,5359.82,1,0.0,5359.82,0.18,964.77
108,2025-11-23,Luiz Gustavo Sá,da Luz do Amparo,SP,Informática,PIX,4835.22,5,0.0,24176.08,0.12,2901.13
109,2025-08-12,Rafaela Jesus,Borges Paulista,GO,Informática,Dinheiro,2084.26,4,0.15,7086.47,0.07,496.05
110,2025-08-09,Lorena Oliveira,Machado,SP,Informática,Boleto,7609.36,3,0.05,21686.69,0.18,3903.6
111,2025-11-13,Giovanna da Luz,da Rocha das Pedras,SC,Acessórios,Cartão,330.4,1,0.1,297.36,0.07,20.82
112,2025-10-26,Dr. Noah Siqueira,Nascimento da Mata,SP,Informática,Dinheiro,4608.37,5,0.05,21889.76,0.07,1532.28
113,2025-10-03,Theodoro Sampaio,Mendes,RS,Serviços,Boleto,391.36,3,0.1,1056.67,0.07,73.97
114,2026-01-07,Valentina Dias,Macedo de Goiás,RJ,Informática,PIX,4312.58,1,0.0,4312.58,0.18,776.26
115,2025-10-08,Sra. Heloísa Campos,Moreira,CE,Informática,Dinheiro,3427.42,3,0.1,9254.04,0.18,1665.73
116,2025-11-03,Srta. Bárbara da Rocha,Brito do Norte,RS,Serviços,Boleto,78.2,4,0.05,297.15,0.18,53.49
117,2025-08-28,Ana Mendes,Nascimento das Pedras,PE,Informática,Dinheiro,4251.78,5,0.0,21258.88,0.12,2551.07
118,2025-09-05,Bento Casa Grande,Macedo do Amparo,PR,Acessórios,Boleto,494.11,1,0.0,494.11,0.07,34.59
119,2025-07-29,Eduarda Andrade,da Luz de Vasconcelos,PR,Serviços,Boleto,758.55,3,0.1,2048.08,0.18,368.65
120,2025-09-07,Vitória Azevedo,Araújo de Gonçalves,GO,Serviços,PIX,434.52,2,0.0,869.03,0.12,104.28
121,2025-09-25,Srta. Stella Porto,Novaes,MG,Eletrônicos,PIX,4165.79,1,0.1,3749.21,0.18,674.86
122,2025-08-24,Ana Laura Moreira,Campos Paulista,MG,Eletrônicos,PIX,3839.54,5,0.0,19197.72,0.18,3455.59
123,2025-12-01,Pedro Moreira,Sá,PR,Acessórios,Cartão,147.49,1,0.0,147.49,0.18,26.55
124,2025-07-26,Emanuella da Cruz,Farias,GO,Acessórios,Cartão,155.07,3,0.05,441.94,0.12,53.03
125,2025-12-08,Lavínia Moraes,Jesus,PR,Serviços,Cartão,437.06,3,0.1,1180.06,0.12,141.61
126,2025-07-21,Ana Clara Machado,da Paz Alegre,SP,Informática,PIX,6409.79,3,0.0,19229.38,0.12,2307.53
127,2025-10-07,Ana Vitória Fonseca,Garcia,CE,Acessórios,Boleto,110.83,5,0.1,498.72,0.07,34.91
128,2025-10-15,Eduarda Sá,Gomes,PR,Eletrônicos,PIX,3768.84,5,0.0,18844.2,0.07,1319.09
129,2025-09-17,Valentina Santos,Rocha,SP,Informática,Cartão,1059.37,5,0.05,5032.03,0.07,352.24
130,2025-08-26,Mariane Teixeira,Costa Grande,PE,Eletrônicos,Dinheiro,4822.36,5,0.05,22906.22,0.07,1603.44
131,2025-12-16,Yan Vasconcelos,Cassiano,SP,Eletrônicos,Boleto,3900.72,3,0.1,10531.96,0.18,1895.75
132,2025-08-23,Maria Luiza Barbosa,Duarte,BA,Serviços,Boleto,99.22,1,0.0,99.22,0.12,11.91
133,2025-11-15,Hellena Leão,da Paz,RS,Eletrônicos,PIX,2340.33,5,0.1,10531.5,0.18,1895.67
134,2025-11-15,Francisco Sales,Correia,BA,Acessórios,Dinheiro,130.43,3,0.15,332.59,0.07,23.28
135,2025-07-25,Maria Eduarda Moreira,Brito,PR,Acessórios,Cartão,151.62,1,0.0,151.62,0.18,27.29
136,2025-07-21,Dra. Milena Montenegro,Barros,SP,Eletrônicos,PIX,3328.0,4,0.0,13312.0,0.18,2396.16
137,2025-10-27,Ayla Sampaio,Costela,RJ,Eletrônicos,Boleto,3852.92,4,0.15,13099.91,0.07,916.99
138,2025-10-17,Maria Clara Freitas,Alves,RS,Informática,PIX,5531.69,1,0.0,5531.69,0.18,995.7
139,2025-08-09,Sofia Mendes,Moura de da Mota,GO,Eletrônicos,Dinheiro,2279.58,2,0.0,4559.17,0.18,820.65
140,2025-09-06,Melissa Duarte,Fonseca,PE,Acessórios,Dinheiro,39.02,1,0.0,39.02,0.18,7.02
141,2025-11-10,Hellena Cavalcanti,Fonseca do Oeste,SC,Eletrônicos,PIX,3167.15,4,0.0,12668.59,0.18,2280.35
142,2025-09-20,Gustavo Mendonça,Carvalho de da Costa,SP,Informática,Cartão,2958.74,2,0.05,5621.61,0.18,1011.89
143,2025-09-02,Beatriz Cardoso,Oliveira,SP,Eletrônicos,Cartão,4767.44,1,0.0,4767.44,0.18,858.14
144,2025-07-25,Agatha Barbosa,Siqueira,GO,Serviços,Cartão,661.12,3,0.1,1785.02,0.18,321.3
145,2025-08-21,Ana Liz Cassiano,Jesus,MG,Acessórios,PIX,230.53,4,0.0,922.13,0.07,64.55
146,2025-08-01,Luna Aragão,Oliveira do Amparo,MG,Informática,Boleto,2794.63,3,0.0,8383.9,0.07,586.87
147,2025-08-11,Mariana Peixoto,Cassiano,GO,Eletrônicos,Boleto,4879.01,5,0.0,24395.04,0.12,2927.4
148,2025-08-15,Gael Henrique da Rosa,da Rosa,PR,Informática,Cartão,5980.25,4,0.05,22724.94,0.18,4090.49
149,2026-01-05,Bruna Rodrigues,Monteiro Alegre,PE,Acessórios,Boleto,253.6,2,0.05,481.84,0.18,86.73
150,2025-08-18,Dr. Caio Pires,Azevedo Alegre,SC,Informática,Dinheiro,3163.2,1,0.0,3163.2,0.18,569.38
151,2025-09-27,Arthur Miguel Cirino,Garcia,CE,Informática,PIX,7775.45,5,0.0,38877.26,0.07,2721.41
152,2025-10-27,Joaquim Mendonça,Cardoso das Flores,GO,Informática,PIX,5351.58,1,0.15,4548.84,0.12,545.86
153,2025-08-04,Júlia Nascimento,Vargas da Serra,SP,Eletrônicos,Dinheiro,3912.67,3,0.1,10564.21,0.12,1267.71
154,2025-10-08,Elisa Oliveira,Casa Grande,CE,Informática,Dinheiro,1294.19,4,0.05,4917.92,0.07,344.25
155,2025-10-09,Gustavo Pacheco,Moura,PR,Informática,Boleto,4338.07,4,0.1,15617.05,0.18,2811.07
156,2025-12-17,Anthony Freitas,Cassiano,RJ,Eletrônicos,PIX,4936.13,1,0.0,4936.13,0.12,592.34
157,2025-08-18,Evelyn Leão,Martins,SP,Eletrônicos,Cartão,2634.73,3,0.0,7904.18,0.18,1422.75
158,2025-08-26,Dr. João Vitor Alves,Vieira de Camargo,RS,Serviços,Dinheiro,550.15,4,0.0,2200.59,0.07,154.04
159,2025-07-27,Eduarda da Rosa,da Mota do Norte,CE,Acessórios,Cartão,110.41,5,0.0,552.04,0.18,99.37
160,2025-08-17,Kevin Fernandes,Nascimento,SP,Eletrônicos,PIX,4222.95,1,0.1,3800.66,0.18,684.12
161,2025-11-16,Luiz Gustavo da Rocha,Cavalcante Verde,GO,Eletrônicos,Cartão,4018.45,5,0.05,19087.64,0.18,3435.77
162,2025-12-17,Davi Miguel Aragão,Caldeira,RJ,Acessórios,PIX,435.89,5,0.05,2070.48,0.18,372.69
163,2025-10-22,Isadora Leão,da Costa da Praia,RJ,Eletrônicos,PIX,2139.87,2,0.1,3851.77,0.12,462.21
164,2025-10-20,Apollo Leão,Moraes das Pedras,GO,Acessórios,Dinheiro,177.62,2,0.0,355.25,0.18,63.94
165,2025-11-25,Maitê Novais,Porto dos Dourados,SP,Informática,Cartão,3080.03,3,0.0,9240.08,0.18,1663.21
166,2025-11-02,Fernando Dias,Cavalcanti de Duarte,MG,Informática,Cartão,7619.11,5,0.0,38095.53,0.12,4571.46
167,2025-09-19,Ian Fernandes,Gomes do Campo,BA,Informática,Boleto,6154.33,3,0.0,18463.0,0.18,3323.34
168,2025-10-07,Maria Julia Rodrigues,Ramos de Minas,PR,Eletrônicos,Cartão,4510.55,5,0.0,22552.73,0.07,1578.69
169,2025-11-03,Melina Sampaio,Guerra,PR,Informática,PIX,2562.23,2,0.05,4868.23,0.18,876.28
170,2025-07-19,Dr. João Felipe Cunha,Pimenta,CE,Serviços,PIX,186.08,5,0.0,930.39,0.12,111.65
171,2025-07-22,Sarah Dias,Nascimento,CE,Informática,Boleto,3482.54,4,0.0,13930.16,0.18,2507.43
172,2025-12-07,Ana Beatriz Sales,Rodrigues de Vasconcelos,SC,Eletrônicos,Cartão,4132.11,2,0.0,8264.21,0.12,991.71
173,2025-10-23,Davi Luiz Dias,da Rocha de Minas,SP,Serviços,Boleto,666.96,4,0.05,2534.45,0.18,456.2
174,2025-09-24,Ana Carolina Costa,Cirino de da Mota,SP,Informática,Dinheiro,1350.92,1,0.0,1350.92,0.07,94.56
175,2026-01-06,Isaque Martins,da Mota Grande,MG,Eletrônicos,Dinheiro,3114.05,5,0.0,15570.26,0.07,1089.92
176,2025-10-04,Yuri Vieira,Leão,PR,Eletrônicos,Boleto,3444.04,3,0.15,8782.3,0.07,614.76
177,2025-10-11,Davi Lucca Correia,Porto de Ferreira,SC,Informática,PIX,2302.16,1,0.0,2302.16,0.12,276.26
178,2025-11-21,Noah da Paz,Câmara,PE,Eletrônicos,Cartão,3162.35,4,0.0,12649.39,0.18,2276.89
179,2025-11-03,Sra. Valentina Ramos,da Paz,MG,Informática,Cartão,2696.02,4,0.05,10244.88,0.18,1844.08
180,2025-09-08,Yago Alves,Oliveira,BA,Informática,Cartão,4564.03,1,0.0,4564.03,0.12,547.68
181,2025-09-25,Sofia Guerra,Moura,SP,Informática,Dinheiro,7852.71,4,0.15,26699.2,0.07,1868.94
182,2025-11-26,Theodoro Correia,Pacheco do Sul,SP,Serviços,Dinheiro,116.84,1,0.05,111.0,0.18,19.98
183,2025-10-02,Nathan Gomes,da Rocha,BA,Acessórios,Boleto,192.87,3,0.0,578.6,0.18,104.15
184,2025-09-22,Sra. Heloísa Duarte,Gomes de Cirino,RS,Informática,Boleto,7005.69,4,0.1,25220.49,0.12,3026.46
185,2025-10-19,Ana Sophia Sampaio,Mendonça de Rios,SC,Informática,PIX,3137.89,3,0.05,8942.99,0.12,1073.16
186,2025-12-04,Sophia Porto,Fogaça,MG,Eletrônicos,Cartão,1032.92,2,0.1,1859.25,0.07,130.15
187,2025-07-21,Luiz Fernando Rodrigues,Gomes Grande,SP,Eletrônicos,Cartão,3110.01,1,0.1,2799.01,0.18,503.82
188,2025-11-19,Ian Ramos,Cirino da Praia,RJ,Eletrônicos,Cartão,2629.32,4,0.0,10517.27,0.18,1893.11
189,2025-11-13,Dra. Isabella Rocha,Porto de Cavalcante,SC,Eletrônicos,PIX,201.6,3,0.0,604.79,0.07,42.34
190,2025-12-15,Bárbara da Mata,Gonçalves das Pedras,RJ,Eletrônicos,Cartão,477.35,3,0.0,1432.04,0.18,257.77
191,2025-10-11,Joaquim Rocha,Pires,SP,Eletrônicos,Cartão,2645.23,4,0.0,10580.9,0.18,1904.56
192,2025-11-25,Kaique Leão,Almeida,PR,Informática,PIX,3680.81,4,0.0,14723.24,0.07,1030.63
193,2025-12-13,Brenda Pires,Nogueira,RS,Acessórios,PIX,29.21,2,0.05,55.5,0.07,3.89
194,2025-10-24,Aurora da Mata,Alves,PR,Eletrônicos,Boleto,4204.66,4,0.0,16818.62,0.12,2018.23
195,2026-01-02,Luiz Fernando Vargas,Cavalcante da Mata,BA,Informática,PIX,1321.52,4,0.05,5021.76,0.18,903.92
196,2025-08-08,Emanuel Alves,Rezende,SC,Informática,Dinheiro,7656.34,1,0.1,6890.71,0.18,1240.33
197,2025-12-30,Dra. Maria Sophia Abreu,Brito do Norte,CE,Eletrônicos,PIX,4665.53,2,0.0,9331.06,0.12,1119.73
198,2025-11-23,Allana Moura,Lopes do Oeste,RS,Informática,Boleto,1328.83,5,0.0,6644.13,0.07,465.09
199,2025-09-19,Samuel Souza,Nogueira,MG,Acessórios,Dinheiro,479.12,2,0.0,958.24,0.18,172.48
200,2025-10-05,Dra. Ana Liz Novais,Novais,RS,Acessórios,Dinheiro,217.82,2,0.0,435.65,0.07,30.5
201,2025-11-15,Otávio Lopes,da Luz,GO,Acessórios,PIX,203.33,1,0.0,203.33,0.12,24.4
202,2025-10-17,Ravi Rios,da Costa,CE,Informática,PIX,7182.14,3,0.15,18314.47,0.18,3296.6
203,2025-11-10,Eduarda Pinto,Viana,RJ,Serviços,Cartão,218.46,1,0.0,218.46,0.18,39.32
204,2025-09-15,Dr. Lorenzo Almeida,Melo,SC,Informática,Dinheiro,7437.29,1,0.05,7065.43,0.12,847.85
205,2025-12-10,Antony Ramos,Jesus,RS,Eletrônicos,Cartão,4263.27,5,0.15,18118.89,0.18,3261.4
206,2025-12-05,Ísis das Neves,Sales,SC,Acessórios,Boleto,278.99,2,0.0,557.97,0.18,100.44
207,2025-11-20,Dom da Mata,da Cruz,MG,Serviços,Boleto,618.64,1,0.0,618.64,0.12,74.24
208,2025-12-08,Rodrigo Oliveira,da Mota do Amparo,RS,Eletrônicos,PIX,2970.43,2,0.0,5940.86,0.12,712.9
209,2025-09-06,Eduardo Azevedo,Barbosa,BA,Acessórios,Boleto,404.03,2,0.05,767.66,0.18,138.18
210,2025-09-06,Srta. Gabrielly Mendes,Borges do Galho,PE,Eletrônicos,Cartão,2001.25,2,0.0,4002.5,0.18,720.45
211,2025-08-01,Valentina das Neves,Machado de da Mota,PR,Acessórios,PIX,91.47,3,0.15,233.24,0.12,27.99
212,2025-12-25,Dr. Rafael Gomes,Barros do Sul,CE,Informática,Dinheiro,4805.4,5,0.0,24026.99,0.07,1681.89
213,2025-12-06,Dra. Aylla Castro,Cavalcante de Minas,BA,Acessórios,Dinheiro,264.85,5,0.0,1324.26,0.18,238.37
214,2025-12-24,Nathan Macedo,Mendes,GO,Eletrônicos,Dinheiro,3447.05,1,0.05,3274.69,0.07,229.23
